Date,temperature
2018/7/31,10.09505703
2018/8/2,13.95437262
2018/8/4,11.55893536
2018/8/6,10.62737643
2018/8/8,10.62737643
2018/8/10,9.030418251
2018/8/12,8.764258555
2018/8/14,10.89353612
2018/8/16,8.764258555
2018/8/18,11.15969582
2018/8/20,13.55513308
2018/8/22,15.15209125
2018/8/24,16.34980989
2018/8/26,17.94676806
2018/8/28,14.35361217
2018/8/30,13.95437262
2018/9/1,13.82129278
2018/9/3,18.3460076
2018/9/5,16.74904943
2018/9/7,14.35361217
2018/9/9,19.14448669
2018/9/11,19.41064639
2018/9/13,16.88212928
2018/9/15,20.20912548
2018/9/17,20.60836502
2018/9/19,19.27756654
2018/9/21,20.60836502
2018/9/23,19.67680608
2018/9/25,18.878327
2018/9/27,17.94676806
2018/9/29,17.01520913
2018/10/1,19.54372624
2018/10/3,16.74904943
2018/10/5,16.74904943
2018/10/7,17.14828897
2018/10/9,18.07984791
2018/10/11,20.34220532
2018/10/13,19.54372624
2018/10/15,19.80988593
2018/10/17,20.47528517
2018/10/19,21.00760456
2018/10/21,21.27376426
2018/10/23,21.27376426
2018/10/25,19.80988593
2018/10/27,22.07224335
2018/10/29,22.60456274
2018/10/31,23.26996198
2018/11/2,21.6730038
2018/11/4,22.07224335
2018/11/6,21.80608365
2018/11/8,20.34220532
2018/11/10,23.26996198
2018/11/12,23.26996198
2018/11/14,24.7338403
2018/11/16,21.00760456
2018/11/18,22.47148289
2018/11/20,23.80228137
2018/11/22,23.13688213
2018/11/24,17.54752852
2018/11/26,14.22053232
2018/11/28,14.08745247
2018/11/30,20.20912548
2018/12/2,20.74144487
2018/12/4,15.95057034
2018/12/6,18.3460076
2018/12/8,20.34220532
2018/12/10,21.6730038
2018/12/12,22.87072243
2018/12/14,21.80608365
2018/12/16,24.7338403
2018/12/18,24.06844106
2018/12/20,24.06844106
2018/12/22,24.06844106
2018/12/24,20.20912548
2018/12/26,23.26996198
2018/12/28,22.33840304
2018/12/30,20.60836502
2019/1/1,14.08745247
2019/1/3,16.74904943
2019/1/5,17.01520913
2019/1/7,14.08745247
2019/1/9,15.2851711
2019/1/11,16.61596958
2019/1/13,17.14828897
2019/1/15,19.14448669
2019/1/17,19.01140684
2019/1/19,17.81368821
2019/1/21,17.28136882
2019/1/23,17.68060837
2019/1/25,19.67680608
2019/1/27,15.68441065
2019/1/29,17.01520913
2019/1/31,21.9391635
2019/2/2,17.41444867
2019/2/4,15.81749049
2019/2/6,21.80608365
2019/2/8,19.14448669
2019/2/10,16.08365019
2019/2/12,15.81749049
2019/2/14,16.88212928
2019/2/16,18.07984791
2019/2/18,15.2851711
2019/2/20,15.15209125
2019/2/22,18.3460076
2019/2/24,17.54752852
2019/2/26,15.5513308
2019/2/28,12.75665399
2019/3/2,12.09125475
2019/3/4,11.9581749
2019/3/6,13.28897338
2019/3/8,13.95437262
2019/3/10,14.61977186
2019/3/12,12.4904943
2019/3/14,13.42205323
2019/3/16,14.35361217
2019/3/18,14.88593156
2019/3/20,14.22053232
2019/3/22,13.55513308
2019/3/24,13.42205323
2019/3/26,13.42205323
2019/3/28,18.47908745
2019/3/30,19.54372624
2019/4/1,16.74904943
2019/4/3,20.87452471
2019/4/5,18.878327
2019/4/7,21.14068441
2019/4/9,17.14828897
2019/4/11,20.74144487
2019/4/13,20.20912548
2019/4/15,17.54752852
2019/4/17,14.61977186
2019/4/19,13.15589354
2019/4/21,8.897338403
2019/4/23,11.29277567
2019/4/25,8.498098859
2019/4/27,11.15969582
2019/4/29,13.02281369
2019/5/1,8.897338403
2019/5/3,10.62737643
2019/5/5,11.15969582
2019/5/7,8.498098859
2019/5/9,13.42205323
2019/5/11,12.35741445
2019/5/13,10.49429658
2019/5/15,11.69201521
2019/5/17,11.69201521
2019/5/19,8.498098859
2019/5/21,11.42585551
2019/5/23,8.631178707
2019/5/25,9.296577947
2019/5/27,10.22813688
2019/5/29,11.02661597
2019/5/31,11.29277567
2019/6/2,11.82509506
2019/6/4,12.88973384
2019/6/6,14.48669202
2019/6/8,11.55893536
2019/6/10,12.62357414
2019/6/12,13.95437262
2019/6/14,14.35361217
2019/6/16,13.82129278
2019/6/18,11.82509506
2019/6/20,10.09505703
2019/6/22,8.897338403
2019/6/24,12.62357414
2019/6/26,8.231939163
2019/6/28,8.098859316
2019/6/30,9.69581749
2019/7/2,7.16730038
2019/7/4,9.296577947
2019/7/6,11.55893536
2019/7/8,12.62357414
2019/7/10,7.83269962
2019/7/12,13.42205323
2019/7/14,13.42205323
2019/7/16,8.897338403
2019/7/18,11.69201521
2019/7/20,8.631178707
2019/7/22,8.631178707
2019/7/24,7.300380228
2019/7/26,4.372623574
2019/7/28,9.69581749
2019/7/30,7.699619772
2019/8/1,4.771863118
2019/8/3,4.239543726
2019/8/5,5.836501901
2019/8/7,7.034220532
2019/8/9,3.97338403
2019/8/11,5.437262357
2019/8/13,7.16730038
2019/8/15,7.699619772
2019/8/17,9.69581749
2019/8/19,7.566539924
2019/8/21,7.699619772
2019/8/23,9.562737643
2019/8/25,10.62737643
2019/8/27,11.02661597
2019/8/29,8.631178707
2019/8/31,11.29277567
2019/9/2,10.89353612
2019/9/4,11.82509506
2019/9/6,11.9581749
2019/9/8,10.89353612
2019/9/10,10.22813688
2019/9/12,11.55893536
2019/9/14,9.296577947
2019/9/16,11.02661597
2019/9/18,11.9581749
2019/9/20,12.62357414
2019/9/22,13.55513308
2019/9/24,11.9581749
2019/9/26,10.89353612
2019/9/28,7.034220532
2019/9/30,5.703422053
2019/10/2,4.63878327
2019/10/4,6.634980989
2019/10/6,2.376425856
2019/10/8,5.570342205
2019/10/10,8.764258555
2019/10/12,3.707224335
2019/10/14,4.63878327
2019/10/16,10.89353612
2019/10/18,10.62737643
2019/10/20,5.703422053
2019/10/22,3.174904943
2019/10/24,7.16730038
2019/10/26,3.174904943
2019/10/28,4.505703422
2019/10/30,7.300380228
2019/11/1,10.89353612
2019/11/3,10.76045627
2019/11/5,9.961977186
2019/11/7,8.498098859
2019/11/9,5.437262357
2019/11/11,2.908745247
2019/11/13,-1.482889734
2019/11/15,-2.414448669
2019/11/17,-2.414448669
2019/11/19,-2.148288973
2019/11/21,-1.74904943
2019/11/23,-0.285171103
2019/11/25,-0.285171103
2019/11/27,-1.08365019
2019/11/29,-1.216730038
2019/12/1,-0.418250951
2019/12/3,-0.418250951
2019/12/5,-4.543726236
2019/12/7,-1.216730038
2019/12/9,-1.615969582
2019/12/11,-1.216730038
2019/12/13,-2.547528517
2019/12/15,-2.813688213
2019/12/17,-3.6121673
2019/12/19,-3.479087452
2019/12/21,-3.212927757
2019/12/23,-2.813688213
2019/12/25,-2.680608365
2019/12/27,-2.813688213
2019/12/29,-2.680608365
2019/12/31,-4.543726236
